system:index,month,precip_mm_day,product,station_id,year,.geo
200001_0,1,0.047658976167440414,ERA5_LAND,WA001,2000,"{""type"":""Point"",""coordinates"":[-17.470000000000002,14.73]}"
200001_1,1,0.014139129780232906,ERA5_LAND,WA002,2000,"{""type"":""Point"",""coordinates"":[-7.949999999999998,12.65]}"
200001_2,1,0.0027298456989228725,ERA5_LAND,WA003,2000,"{""type"":""Point"",""coordinates"":[-1.5200000000000002,12.360000000000001]}"
200001_3,1,0.0010673933429643512,ERA5_LAND,WA004,2000,"{""type"":""Point"",""coordinates"":[2.17,13.51]}"
200001_4,1,0.01967289298772812,ERA5_LAND,WA005,2000,"{""type"":""Point"",""coordinates"":[7.33,9.07]}"
200001_5,1,1.2156693935394287,ERA5_LAND,WA006,2000,"{""type"":""Point"",""coordinates"":[-0.17,5.56]}"
200001_6,1,3.907525062561035,ERA5_LAND,WA007,2000,"{""type"":""Point"",""coordinates"":[-3.9299999999999997,5.349999999999999]}"
200001_7,1,0.41205498576164246,ERA5_LAND,WA008,2000,"{""type"":""Point"",""coordinates"":[-13.67,9.53]}"
200001_8,1,3.2886760234832764,ERA5_LAND,WA009,2000,"{""type"":""Point"",""coordinates"":[-13.230000000000002,8.489999999999998]}"
200001_9,1,6.019587993621826,ERA5_LAND,WA010,2000,"{""type"":""Point"",""coordinates"":[-10.799999999999999,6.3]}"
200001_10,1,1.375446081161499,ERA5_LAND,WA011,2000,"{""type"":""Point"",""coordinates"":[1.22,6.130000000000001]}"
200001_11,1,1.6200391054153442,ERA5_LAND,WA012,2000,"{""type"":""Point"",""coordinates"":[2.42,6.37]}"
200001_12,1,0.0010534297907724977,ERA5_LAND,WA013,2000,"{""type"":""Point"",""coordinates"":[8.52,12.05]}"
200001_13,1,2.5528151988983154,ERA5_LAND,WA014,2000,"{""type"":""Point"",""coordinates"":[-1.62,6.69]}"
200001_14,1,0.002566749230027199,ERA5_LAND,WA015,2000,"{""type"":""Point"",""coordinates"":[-16.680000000000003,13.45]}"
200002_0,2,0.011446737684309483,ERA5_LAND,WA001,2000,"{""type"":""Point"",""coordinates"":[-17.470000000000002,14.73]}"
200002_1,2,0.0013319322606548667,ERA5_LAND,WA002,2000,"{""type"":""Point"",""coordinates"":[-7.949999999999998,12.65]}"
200002_2,2,0.0013319322606548667,ERA5_LAND,WA003,2000,"{""type"":""Point"",""coordinates"":[-1.5200000000000002,12.360000000000001]}"
200002_3,2,0.0013319322606548667,ERA5_LAND,WA004,2000,"{""type"":""Point"",""coordinates"":[2.17,13.51]}"
200002_4,2,0.0013324872124940157,ERA5_LAND,WA005,2000,"{""type"":""Point"",""coordinates"":[7.33,9.07]}"
200002_5,2,0.4170231819152832,ERA5_LAND,WA006,2000,"{""type"":""Point"",""coordinates"":[-0.17,5.56]}"
200002_6,2,1.3784395456314087,ERA5_LAND,WA007,2000,"{""type"":""Point"",""coordinates"":[-3.9299999999999997,5.349999999999999]}"
